id|text|duration_s
0586|Riding to work on a streetcar, the barely 20-year-old Einstein looked up at a clock|4.80
0587|tower and suddenly it all clicked.|8.21
0588|Einstein realized that time is relative to where you are and how fast you're moving.|7.46
0589|Time is the fourth dimension, bound tightly together with length, width, and depth.|7.02
0590|dimensions of space. A few years later, Einstein used his ideas about gravity's effect on|7.24
0591|space and time to create a mathematical map of the cosmos. He proved that the fabric of|7.12
0592|space and time is curved. If the universe is curved, there might be ways to build bridges|8.70
0593|across it, or create loops inside of it, loops that will allow time travel. That was the|8.96
0594|The conclusion reached in 1949 by the mathematical genius Kurt Gödel.|6.28
0595|Gödel was a close friend of Einstein's and he decided to see if the great man's equations|4.82
0596|permitted time travel.|2.62
0597|He found that they did.|3.19
0598|If the universe rotates on its axis and you somehow remain perfectly still, it would be|6.25
0599|possible to go to any time and place in the universe.|4.84
0600|Except that we now know that the universe does not rotate, and without the rotation,|8.80
0601|you cannot have time travel.|3.87
0602|Gödel's solution was unrealistic, but his radical thinking inspired a new generation|4.72
0603|Professor Frank Tipler was one of the renegade physicists who followed in Gödel's footsteps.|6.25
0604|I was fascinated by Gödel's paper, which I had actually read when I was an undergraduate|6.44
0605|at MIT, and I wondered if I could follow up Einstein's suggestion, can this be actually|5.96
0606|done physically? We can't rotate the universe. It either is rotating or not, but we might be|6.12
0607|able to do something on a smaller scale. And obvious, easy-to-solve model in relativity was|7.66
0608|a rotating cylinder. And so I was able to show that a rotating cylinder would give rise to these|6.76
0609|It's loops in time, being able to go backwards into time.|6.13
0610|Tipler's gigantic cylinder would hang in space, whirling at nearly the speed of light.|6.01
0611|Space turns into time, and time into space as both become twisted around the cylinder.|6.27
0612|So by traveling forward around the cylinder, you go backwards in time.|5.68
0613|So, my paper, which I tried to get published under the title of Constructing a Time Machine,|10.40
0614|The editors thought that was a little too radical, and they wanted something that would|5.50
0615|not be so sound-bitey, and so I changed the title to Rotating Cylinders and the Possibility|8.38
0616|of Global Causality Violation.|3.65
0617|Now there is a mouthful that no one will catch on to unless you actually read the paper.|9.07
0618|But later Tipler found there were a few problems with his idea.|4.67
0619|I realized that the rotating cylinder, although an easy-to-construct solution to the Einstein|6.78
0620|equations, was not very realistic because it had to be an infinite cylinder, and creating|5.92
0621|an infinite cylinder is as hard as creating a universe, which obviously we cannot do.|5.06
0622|So I was wondering if it would be possible to have this sort of structure in a much smaller|5.42
0623|scale, and I discovered, alas, that's not going to be possible because if you tried|5.86
0624|to speed up a body to generate the time machine, what you would find before the time machine|6.04
0625|property was created, you would rip a hole in space and time.|5.22
0626|You would create a singularity right there in space and time.|6.57
0627|So alas, I had to give up my dream of creating a time machine.|5.97
0628|Tipler's spinning cylinder might not work, but there are massive objects in the universe|5.42
0629|that are already spinning near the speed of light, black holes.|4.75
0630|The immense gravity of black holes|2.10
0631|pushed the laws of physics to the extremes.|3.00
0632|Could the secrets of backwards time travel|2.22
0633|You would fall into a singularity and you'd be crushed and you would die.|2.76
0634|Some interesting effect that we don't yet understand|2.70
0635|about what happens at the center of a black hole,|2.60
0636|there's no reason to think that it pushes you backward in time.|2.76
0637|The black hole is more or less a one-way street.|3.13
0638|You go in and you will never come back out.|3.85
0639|So black holes won't work.|2.22
0640|But another cosmic anomaly made famous by science fiction might do the trick.|5.33
0641|Wormholes are magic doorways connecting two remote locations.|3.96
0642|These cosmic sky bridges would allow us to jump across space and travel in time.|7.38
0643|Lie into a wormhole and you can take a shortcut to another place or time.|6.33
0644|We have no proof that wormholes exist, but there is plenty of solid science behind them.|7.36
0645|No one knows more about wormholes than renowned physicist Kip Thorne.|5.26
0646|For starters, he can tell you why they're called wormholes.|4.34
0647|If you have an apple, a worm drills a hole through the apple, reaches from one side to|5.87
0648|the other. You can think of the surface of the apple as being like our universe, and|4.66
0649|the worm has gone through some higher dimension to reach the other side.|7.98
0650|If they exist, wormholes are smaller than atoms. If we want to go through them, we need|8.00
0651|to stretch them out and hold them open. Prying open a wormhole would take a tremendous amount|5.80
0652|energy, not just ordinary energy, but something called negative energy.|7.95
0653|Negative energy is anti-gravitation.|3.62
0654|It repels the fabric of space and time and would prevent gravity from crushing a wormhole.|9.28
0655|One problem, a lot of people don't believe negative energy exists.|5.56
0656|Kind of energy that would anti-gravitate is ridiculous.|3.34
0657|But in fact, in modern physics we know examples of negative energy that are created in the|6.64
0658|laboratory every day.|2.57
0659|Small amounts of negative energy, often just transient, but nevertheless negative energy.|6.48
0660|And so I was not willing to dismiss this possibility out of hand.|4.78
0661|The fundamental question was, could a very advanced civilization accumulate enough negative|6.40
0662|energy and hold it in the interior of the wormhole long enough to keep the wormhole|6.30
0663|open so that somebody could travel through it?|5.27
0664|The answer is we don't know.|5.74
0665|The technology that would be required to make a time machine that has even a whisper of|6.46
0666|a hope of success is as far beyond us today as space travel is beyond the capabilities|6.53
0667|of an amoeba, because our technology is so puny, there's no hope at all.|10.94
0668|Time travel seems unlikely, if we approach it purely as a matter of taking a person or|4.60
0669|information from the present and transporting it to the past.|4.89
0670|But there is another way to journey into the past, a way that until recently would have|4.64
0671|been considered preposterous, but it's getting closer to reality every day.|6.64
0672|We could build the past.|3.84
0673|Human technology is evolving exponentially.|3.55
0674|When our computers get powerful enough, they could simulate massively complex worlds, including|6.74
0675|past eras of life on Earth.|3.93
0676|These wouldn't be video games.|3.68
0677|These simulations of the past would look and feel so real, you wouldn't know they are simulations.|7.82
0678|Not the genuine past, but the next best thing.|5.38
0679|If you really want to go into the past, you're going to have to go into the extreme far future.|5.96
0680|In the extreme far future, they will have the ability to reproduce the past, and then|6.80
0681|you can see what the past was like.|2.56
0682|You can actually experience the distant past by existing in the virtual reality of the|6.90
0683|We've seen that time travel into the distant future is possible, but it's a one-way trip.|7.44
0684|Time travel into the past might be theoretically possible, but it requires inconceivable amounts|6.56
0685|of energy and God-like technology.|4.48
0686|Our best hope may lie in computer recreations of time's past.|6.10
0687|So it looks like we won't be able to go back in time to visit the people we've lost or|6.07
0688|correct the mistakes we made when we were young. Our trajectory through time, from birth to death,|9.25
0689|is the one thing all living things have in common. Every human has to live with the fact that life is|6.40
0690|short and time is precious. We have our triumphs. We make our mistakes. If we could go back and|8.80
0691|correct those mistakes, would we ever learn anything from them? Would we be the people we are today?|7.71
0692|come crashing down around us. Physicists now have their own version of apocalypse.|6.12
0693|In fact, they have several of them. The sun will engulf the earth. Our star will fall into a black|8.52
0694|hole. Our entire galaxy will collide with another. But what if everything came to an end? Destroyed|10.84
0695|in an apocalypse so complete that time itself would disappear.|12.90
0696|I was just a young boy when time ran out for my grandmother.|7.83
0697|The sun continued to rise and set each day.|3.02
0698|The seasons cycled on.|3.49
0699|I wondered if time for my grandmother really had ended.|4.02
0700|In fact, it seemed impossible that time itself could ever end.|11.42
0701|The ancient Greeks and Egyptians thought of eternity as a place outside of time.|5.29
0702|They saw time as a giant circle, mirroring the passing of the sun overhead and the rotation|6.13
0703|of the seasons.|3.73
0704|But today we've rolled out the circle of time into a line stretching from the distant past|5.80
0705|to the far future.|3.34
0706|Now we are forced to contemplate whether this timeline has an end or whether it can stretch|6.05
0707|Perhaps the riddle of eternity is something we've created in our heads.|6.55
0708|Anthropologist Vera da Silva Sinha and linguistic psychologist Chris Sinha|7.94
0709|spend their time thinking about how people think about time.|5.08
0710|We have very large-scale, complex societies.|3.76
0711|We could not make our society tick over if we didn't have a calendar and a clock.|7.08
0712|So we think of time concepts and ways of measuring time|4.78
0713|as being what we call a cognitive technology.|2.46
0714|It's a technology of the mind.|5.38
0715|this organized view of time is not universal.|4.56
0716|It's an insight they gained from studying the language|3.08
0717|and culture of an indigenous Amazonian tribe|3.18
0718|called the Amandawa.|2.64
0719|The Amandawa people live in Rondonia, the state of Brazil.|4.06
0720|They were contacted by the Brazilian government in 1984.|6.20
0721|The Amandawa tribe does not live by a calendar,|2.82
0722|and they don't use clocks.|2.06
0723|In fact, there isn't even a word for time in their language.|5.13
0724|If you ask an Amandawa speaker to give a translation|4.86
0725|of the word time, the nearest thing that they can think of,|3.72
0726|Or they say rainy seasons, or they say summertime.|4.54
0727|There's nothing which is abstracted from that, right?|2.48
0728|To try and understand the Amandawa's notion of time,|3.40
0729|Chris and Vera had them arrange a series of paper plates.|3.14
0730|So we found out there is two seasons, yeah?|2.96
0731|Rain season and dry season.|2.24
0732|So, and we used the plates|2.14
0733|to symbolise how the seasons are divided.|5.08
0734|An Amandawa man organises the plates|2.32
0735|not according to days or months,|3.09
0736|but by the natural events that occur|2.04
0737|throughout their two seasons.|2.59
0738|For each one of these small subdivisions of a season,|4.30
0739|he'll tell a little story about what kind of planting|5.28
0740|and harvesting goes on, also what fruits are ripening,|3.86
0741|and what's going on in the forest and in the rivers.|3.88
0742|Is the level of the river going up or going down?|2.74
0743|This kind of thing, yeah.|2.97
0744|it's a way of mapping out time that would make sense to any farmer but in our industrialized|6.38
0745|cultures a much more rigid system has taken over we might arrange plates on a line of seven|7.40
0746|one plate for each day of a week or we would divide a day into hours arranged in a circle|6.96
0747|but the amandawa don't arrange events in any particular shape he's not really worried about|8.45
0748|the shape of the events you worry about the contents of each event they don't think of time|6.08
0749|as being analogous to a spatial dimension they don't think of time being a sort of line in|7.52
0750|which there is a future that you look forward to and a past that you look back to in english you|5.84
0751|can say oh i look back to my childhood however in a mandawa you don't look back to your childhood so|5.44
0752|you were a child in your childhood you were there so you don't look back anymore so|4.40
0753|the amandawa don't look back on a line that traces their life from past to present|4.24
0754|but in western cultures we can't help but impose this time geometry on our lives|5.20
0755|a person's life is like a line that stretches from birth to death and so we imagine the|6.16
0756|the universe too must have a timeline.|3.57
0757|From its birth in the Big Bang 14 billion years ago|4.46
0758|to some far future date when it will die.|6.37
0759|There was no time before the beginning|2.32
0760|and time will eventually disappear|2.70
0761|when the universe meets its apocalyptic end.|4.53
0762|Scientists have spent 3,000 years|3.58
0763|trying to learn as much as they can|2.08
0764|about the world we live in.|2.81
0765|We've done pretty well.|2.28
0766|We understand how planets, stars, and galaxies work.|4.94
0767|But to know the fate of the entire universe,|3.28
0768|just imagine how much more there is to know.|4.13
0769|So perhaps it's time to ask ourselves an important question.|5.76
0770|Are there some things we just aren't meant to understand?|8.24
0771|Theoretical physicist Tom Banks believes the best way|3.50
0772|to understand eternity is to calculate|3.00
0773|how much we can ever know.|2.49
0774|and what we can know is what we can measure.|5.04
0775|So you can see the Pacific Ocean is here behind me,|3.42
0776|and the Pacific Ocean is huge.|2.78
0777|We couldn't possibly measure it with rulers,|2.44
0778|so we measure it by using trigonometry, all kinds of math.|9.08
0779|The Pacific Ocean may be massive,|2.78
0780|but we've traversed its length and breadth|2.72
0781|and mapped out all of its 64 million square miles.|4.54
0782|However, it isn't even a speck|2.50
0783|compared with the entire universe.|2.44
0784|It's much too big for us to physically measure.|2.56
0785|Our universe, we can't even get out there to most of it.|3.24
0786|And we measure it by receiving light from it,|2.58
0787|and getting all kinds of signals.|2.14
0788|But the universe does not just stretch out over space.|4.16
0789|It also extends over time.|2.64
0790|From its beginning in the Big Bang|2.78
0791|the far future what would it take to know everything about such a vast place tom thinks|7.27
0792|he can calculate the answer to that question using something he calls the theory of causal diamonds|7.12
0793|i'm drawing a schematic diagram showing a causal diamond this is my past this is my future and this|10.19
0794|diamond represents everything i could have done experiments on during that whole history|5.28
0795|From the beginning to the end, that region in space-time,|5.38
0796|it forms a diamond shape because light goes out|2.66
0797|in sort of a cone like this.|2.14
0798|And then if I look back from the latest time,|2.70
0799|You put those two cones together,|2.06
0800|and they're sort of a diamond shape.|5.35
0801|A causal diamond marks the limit of how much|2.52
0802|of the universe a measuring device could ever hope to reach.|4.00
0803|When that device sends out a light beam,|2.77
0804|It heads out into the universe,|2.74
0805|bounces off some distant galaxies,|2.74
0806|and finally returns to the device billions of years later.|4.41
0807|Tom has been able to calculate|2.14
0808|that the amount of information existing inside that diamond|3.86
0809|is related to the area of a sphere|2.14
0810|that just fits around it at its widest point,|4.26
0811|a sphere he calls the holographic screen.|4.68
0812|suppose there was some machine that lived forever|2.66
0813|from the beginning of the universe to the end.|2.54
0814|How big does the holographic screen of the causal diamond|3.66
0815|of that infinitely long-lived detector ever get?|3.30
0816|And it's very important because that determines|2.64
0817|how much information there could have possibly been|2.74
0818|in this region of space and time.|3.41
0819|Knowing absolutely everything there is to know|3.02
0820|about every atom and every subatomic particle in existence|3.48
0821|would mean collecting a truly mind-blowing amount of data.|5.62
0822|This number is 10 to the 10 to the 123.|4.24
0823|It's a one with 10 to the 123 zeros after it.|3.90
0824|That number is so huge that it's hard to imagine it.|4.26
0825|If I started trying to write that number down|2.62
0826|and I wrote a zero every second,|3.98
0827|I would run out of time long before|3.20
0828|the whole history of the universe.|2.65
0829|And I would never get to the end of it.|2.68
0830|But could an advanced civilization actually collect this much data|5.04
0831|and know everything about the universe and thus learn its fate?|5.00
0832|The answer, Tom believes, is contained in this tiny cup of water.|6.80
0833|So in this little bit of water I just got out of the Pacific,|3.56
0834|That's trillions of trillions.|2.40
0835|If we wanted to measure all those atoms,|2.36
0836|we'd have to have a really big machine.|2.64
0837|We'd need a device that was larger than the United States.|4.72
0838|But collecting data on the entire universe|2.84
0839|is not just a monumental engineering challenge.|3.12
0840|The laws of physics actually prevent us from doing it.|5.00
0841|If we tried to measure every atom in existence,|3.18
0842|we would end up using so much equipment|2.62
0843|that we'd fill space with more stuff than it could handle.|4.57
0844|And the entire experiment would collapse into a black hole,|3.52
0845|destroying all that information with it tom has calculated that we can measure no more than 10|10.01
0846|to the 10 to the 90 bits of information before we cause the entire universe to collapse|5.60
0847|into a black hole this may seem like a gigantic number but it is actually just a tiny fraction|6.88
0848|of 10 to the 10 to the 123 which is all that there is to know that number is so incredibly|9.57
0849|smaller than this number that there's no hope that any civilization no matter how sophisticated|6.40
0850|could possibly measure all of the information that there is in the universe throughout its entire|5.52
0851|history all we can ever learn about the universe is an impossibly tiny morsel of what's out there|8.66
0852|and tom argues trying to predict the future based on such sad knowledge is utterly futile so perhaps|8.85
0853|we should quit worrying about the end of time and learn to live for the now it's natural for us to|8.84
0854|want to know everything and we like to make up stories about everything and those stories are|7.44
0855|often wrong so people are people we're finite we're we're not gods we're we don't own the|8.32
0856|universe we're a very tiny portion of the universe and we've now discovered that we're a much tinier|7.36
0857|portion than we might have thought before we don't have the right in some sense to expect to know|6.72
0858|everything that there is to know will the universe last forever is eternity already out there|12.45
0859|projecting the present back to us from the far future or will a cosmic apocalypse destroy|6.59
0860|everything in the blink of an eye we don't know and we probably never will because some|8.64
0861|questions require more knowledge than we can ever get and maybe that's not so bad after all|7.81
0862|What fun would life be if we already knew how it was going to end?|6.31
